action,x,y,timestamp,extra1,extra2
move,607,326,1725102767.808572,,
move,618,316,1725102767.8178182,,
move,599,316,1725102768.2785997,,
move,573,313,1725102768.2839944,,
move,539,311,1725102768.2924738,,
move,497,306,1725102768.29843,,
move,465,305,1725102768.306927,,
move,445,305,1725102768.309363,,
move,426,303,1725102768.317799,,
move,410,303,1725102768.3269167,,
move,398,303,1725102768.3323498,,
move,388,303,1725102768.338064,,
move,383,303,1725102768.3469524,,
move,380,303,1725102768.3538246,,
move,378,302,1725102768.3588252,,
move,376,302,1725102768.368017,,
move,375,302,1725102768.3703365,,
move,374,302,1725102768.382172,,
move,373,302,1725102768.388327,,
move,372,301,1725102768.394447,,
move,372,301,1725102768.3995626,,
move,371,300,1725102768.4081414,,
move,369,299,1725102768.4126606,,
move,368,298,1725102768.4231749,,
move,365,297,1725102768.428854,,
move,361,295,1725102768.436785,,
move,355,292,1725102768.4404414,,
move,349,290,1725102768.4484124,,
move,345,288,1725102768.4578419,,
move,340,286,1725102768.4646568,,
move,336,284,1725102768.4717236,,
move,333,283,1725102768.477958,,
move,331,282,1725102768.4813235,,
move,329,281,1725102768.4904048,,
move,329,280,1725102768.4984837,,
move,328,280,1725102768.5050778,,
move,327,279,1725102768.5129123,,
move,327,279,1725102768.5185723,,
move,326,278,1725102768.5230548,,
move,325,278,1725102768.5310848,,
move,325,277,1725102768.538932,,
move,324,276,1725102768.5448666,,
move,324,275,1725102768.5532432,,
move,324,275,1725102768.5667517,,
move,324,274,1725102768.5677793,,
move,324,273,1725102768.5869505,,
move,324,273,1725102768.5995562,,
move,324,273,1725102768.6076393,,
move,324,272,1725102768.6122053,,
move,327,271,1725102768.6182501,,
move,337,266,1725102768.627916,,
move,362,256,1725102768.627916,,
move,434,227,1725102768.6428683,,
move,502,205,1725102768.6484141,,
move,563,188,1725102768.6557236,,
move,619,176,1725102768.6625,,
move,665,172,1725102768.6698217,,
move,710,167,1725102768.6769435,,
move,761,167,1725102768.6833801,,
move,796,170,1725102768.6905687,,
move,845,175,1725102768.6977625,,
move,891,181,1725102768.704319,,
move,927,187,1725102768.710337,,
move,964,198,1725102768.7178164,,
move,1001,206,1725102768.7246273,,
move,1037,223,1725102768.7311647,,
move,1061,241,1725102768.738171,,
move,1082,257,1725102768.7451444,,
move,1104,278,1725102768.74807,,
move,1120,294,1725102768.7591488,,
move,1134,309,1725102768.7666876,,
move,1144,328,1725102768.7728865,,
move,1150,346,1725102768.7797987,,
move,1151,361,1725102768.7857845,,
move,1152,373,1725102768.7938013,,
move,1152,386,1725102768.7983458,,
move,1149,401,1725102768.8074183,,
move,1147,417,1725102768.8119633,,
move,1141,432,1725102768.8184862,,
move,1136,444,1725102768.8278122,,
move,1129,455,1725102768.8353004,,
move,1121,467,1725102768.8387322,,
move,1111,478,1725102768.8493593,,
move,1100,488,1725102768.850544,,
move,1079,499,1725102768.858645,,
move,1044,513,1725102768.8678622,,
move,1009,526,1725102768.872208,,
move,973,534,1725102768.8803892,,
move,933,540,1725102768.8877876,,
move,898,544,1725102768.8930402,,
move,872,547,1725102768.89891,,
move,857,549,1725102768.907983,,
move,849,550,1725102768.9167879,,
move,846,551,1725102768.9223995,,
move,844,552,1725102768.9301202,,
move,843,552,1725102768.937661,,
move,842,552,1725102768.9401941,,
move,841,552,1725102768.957562,,
move,840,552,1725102768.9693255,,
move,840,551,1725102768.9808435,,
move,840,550,1725102768.989398,,
move,840,549,1725102768.997784,,
move,840,547,1725102769.002112,,
move,840,543,1725102769.0127177,,
move,842,538,1725102769.0189917,,
move,848,530,1725102769.0242758,,
move,865,516,1725102769.0303266,,
move,924,492,1725102769.0375512,,
move,985,469,1725102769.0467808,,
move,1048,462,1725102769.0540595,,
move,1096,458,1725102769.057987,,
move,1140,458,1725102769.0676374,,
move,1189,461,1725102769.0733469,,
move,1225,465,1725102769.080505,,
move,1250,469,1725102769.0881667,,
move,1271,475,1725102769.0931911,,
move,1289,481,1725102769.099346,,
move,1307,489,1725102769.107878,,
move,1321,496,1725102769.1129036,,
move,1332,505,1725102769.1215723,,
move,1342,519,1725102769.1276915,,
move,1349,531,1725102769.135413,,
move,1355,544,1725102769.1423476,,
move,1361,556,1725102769.1503205,,
move,1365,568,1725102769.1568162,,
move,1368,582,1725102769.1636293,,
move,1368,595,1725102769.1695127,,
move,1368,608,1725102769.1773512,,
move,1367,622,1725102769.1841762,,
move,1364,638,1725102769.1901844,,
move,1356,661,1725102769.1978343,,
move,1345,692,1725102769.2031004,,
move,1334,718,1725102769.211995,,
move,1320,747,1725102769.2182019,,
move,1306,779,1725102769.2241967,,
move,1295,807,1725102769.2306418,,
move,1287,829,1725102769.2389948,,
move,1282,842,1725102769.2456002,,
move,1278,854,1725102769.252961,,
move,1276,866,1725102769.2598717,,
move,1274,878,1725102769.2669144,,
move,1272,890,1725102769.2728803,,
move,1272,898,1725102769.2791579,,
move,1272,907,1725102769.286737,,
move,1272,918,1725102769.2935486,,
move,1272,928,1725102769.3000996,,
move,1273,939,1725102769.307725,,
move,1276,948,1725102769.3147137,,
move,1278,955,1725102769.3215861,,
move,1281,960,1725102769.328091,,
move,1311,908,1725102769.66187,,
move,1346,854,1725102769.6683304,,
move,1382,803,1725102769.6776924,,
move,1427,751,1725102769.68486,,
move,1468,706,1725102769.691979,,
move,1506,660,1725102769.697912,,
move,1545,621,1725102769.7041597,,
move,1584,587,1725102769.7119904,,
move,1611,558,1725102769.717746,,
move,1626,539,1725102769.7242565,,
move,1634,525,1725102769.7307622,,
move,1638,518,1725102769.7376719,,
move,1639,514,1725102769.7450244,,
move,1640,512,1725102769.7531362,,
move,1640,511,1725102769.7590303,,
move,1640,510,1725102769.7671351,,
move,1640,509,1725102769.772044,,
move,1640,509,1725102769.7787106,,
move,1640,509,1725102769.787563,,
move,1640,508,1725102769.7920947,,
move,1639,508,1725102769.8004572,,
move,1639,508,1725102769.8080082,,
move,1639,508,1725102769.8203275,,
move,1638,510,1725102769.8279142,,
move,1637,512,1725102769.8347282,,
move,1634,516,1725102769.8416297,,
move,1626,525,1725102769.8482018,,
move,1606,543,1725102769.85536,,
move,1571,574,1725102769.8583214,,
move,1535,608,1725102769.8679254,,
move,1503,635,1725102769.877238,,
move,1471,661,1725102769.88277,,
move,1446,684,1725102769.890258,,
move,1420,708,1725102769.8971498,,
move,1396,737,1725102769.9044037,,
move,1366,766,1725102769.910952,,
move,1337,795,1725102769.917989,,
move,1316,820,1725102769.9190233,,
move,1296,848,1725102769.9320705,,
move,1284,871,1725102769.9382215,,
move,1275,887,1725102769.9453578,,
move,1269,899,1725102769.9524763,,
move,1264,908,1725102769.9596138,,
move,1262,916,1725102769.9664543,,
move,1260,926,1725102769.9688332,,
move,1260,933,1725102769.979868,,
move,1261,941,1725102769.9867463,,
move,1262,950,1725102769.9884176,,
move,1266,960,1725102770.0007708,,
move,1272,969,1725102770.0076594,,
move,1285,981,1725102770.0106847,,
move,1313,997,1725102770.0216231,,
move,1353,1019,1725102770.0279744,,
move,1397,1030,1725102770.0296416,,
move,1449,1034,1725102770.0387151,,
move,1490,1036,1725102770.047974,,
move,1536,1033,1725102770.0492196,,
move,1578,1027,1725102770.0597568,,
move,1612,1019,1725102770.0678074,,
move,1645,1011,1725102770.0748208,,
move,1676,1001,1725102770.0823653,,
move,1701,992,1725102770.0879204,,
move,1718,986,1725102770.0967777,,
move,1731,981,1725102770.1012924,,
move,1741,977,1725102770.1078212,,
move,1748,973,1725102770.1169443,,
move,1756,970,1725102770.1239974,,
move,1759,968,1725102770.1275918,,
move,1760,967,1725102770.136772,,
move,1762,966,1725102770.143744,,
move,1763,965,1725102770.1497116,,
move,1763,965,1725102770.167591,,
move,1762,964,1725102770.1783283,,
move,1759,963,1725102770.1841018,,
move,1746,959,1725102770.192496,,
move,1708,956,1725102770.198925,,
move,1660,954,1725102770.2023568,,
move,1618,955,1725102770.208892,,
move,1575,963,1725102770.2184374,,
move,1544,973,1725102770.2270072,,
move,1520,980,1725102770.2313488,,
move,1504,989,1725102770.239711,,
move,1488,997,1725102770.2476616,,
move,1472,1006,1725102770.253925,,
move,1459,1015,1725102770.2577705,,
move,1448,1023,1725102770.2669737,,
move,1438,1032,1725102770.2735677,,
move,1428,1042,1725102770.2781258,,
move,1419,1050,1725102770.2886295,,
move,1408,1059,1725102770.2935095,,
move,1397,1067,1725102770.3017466,,
move,1383,1077,1725102770.3084755,,
move,1372,1085,1725102770.3084755,,
move,1360,1088,1725102770.3175657,,
move,1349,1088,1725102770.328743,,
move,1340,1086,1725102770.332788,,
move,1333,1086,1725102770.3378327,,
move,1327,1084,1725102770.3487902,,
move,1324,1082,1725102770.3568165,,
move,1322,1081,1725102770.3578424,,
move,1320,1081,1725102770.3688767,,
move,1316,1082,1725102770.3780222,,
move,1314,1081,1725102770.382071,,
move,1311,1079,1725102770.3876693,,
move,1309,1081,1725102770.398402,,
move,1308,1080,1725102770.4029799,,
move,1306,1079,1725102770.4111102,,
move,1305,1080,1725102770.4186192,,
move,1304,1079,1725102770.4186192,,
move,1303,1079,1725102770.4385617,,
move,1302,1079,1725102770.4455864,,
move,1302,1079,1725102770.447613,,
move,1301,1079,1725102770.4591525,,
move,1300,1079,1725102770.4666889,,
move,1300,1078,1725102770.4677074,,
move,1298,1075,1725102770.4787397,,
move,1295,1071,1725102770.4868197,,
move,1293,1068,1725102770.493213,,
